"StartTime","EndTime","Text"
"173680","179599","contacts examplexml yep i click open"
"176879","182799","click on i can add more file if i want"
"179599","184879","to if there is the same structure um"
"182800","187680","if there is the same xml structure i can"
"184879","189120","add them and click on next step"
"187680","192800","here um"
"189120","195760","and the second step i i can specify uh"
"192800","200400","if i want to have a one vcf file or many"
"195760","203440","vcf file so if i select one vcf file"
"200400","205920","only one file will be created and all"
"203440","208799","contacts will be put into this one file"
"205920","212640","it's useful if i have like uh if i want"
"208799","215120","to have vcf file for entire organization"
"212640","216958","and i can put it on the website and"
"215120","219120","everyone who download it can add like"
"216959","221440","entire organization contacts to it"
"219120","224080","however if i want to have a"
"221440","226400","one vcr file per person i can select"
"224080","229760","many files in this case"
"226400","231519","let's select one file and just have it"
"229760","232879","so"
"231519","236319","then i"
"232879","239200","here next step i will have to match vcf"
"236319","241518","columns with my xml data what will"
"239200","244399","happen on right side you can see"
"241519","248560","we have a columns we had before on xml"
"244400","249920","viewer now we have here so our goal is"
"248560","253360","to match"
"249920","255839","first name to first name right column so"
"253360","257600","your xml may be different and that's"
"255840","259040","okay because uh"
"257600","261440","if you have a"
"259040","263199","for example first name just name is name"
"261440","266080","you will have a different name but you"
"263199","269440","know how to match like what"
"266080","271758","you where is the data in your xml file"
"269440","275280","if you don't know you can you can use"
"271759","277120","that xml viewer to check um"
"275280","280400","where is how what is the name of the"
"277120","282400","column and how data is structured inside"
"280400","285039","so um"
"282400","288000","then i will select last name"
"285040","291040","organization"
"288000","293600","uh job title"
"291040","294840","i don't think if i have a"
"293600","298960","job title"
"294840","299580","here okay so i'll just keep uh i'll just"
"298960","301919","keep um"
"299580","304159","[Music]"
"301919","306799","missing information that's fine as well"
"304160","310639","so phone number"
"306800","312320","mobile phone from one a mail"
"310639","316000","yup"
"312320","317919","i don't have a home i have a home page"
"316000","319840","i don't have address so i'll just keep"
"317919","321680","it and have country click on next step"
"319840","325119","and then final step i'll click run and"
"321680","327680","it's asking me to create xml"
"325120","329680","to create a vcf file where it's"
"327680","331680","be located and what will be the name of"
"329680","333280","the file i can change the name of the"
"331680","335039","file"
"333280","337359","um like"
"335039","339440","my org"
"337360","341919","xml"
"339440","343600","and saved into my document click on save"
"341919","346159","and file has been saved"
"343600","347759","so yeah basically that's it we saved our"
"346160","350560","file we see a file for entire"
"347759","353520","organization we can i can double click"
"350560","355440","on it to open it i have a i have a vcf"
"353520","358479","viewer installed"
"355440","358479","on this computer"
"358560","362319","and it will show me what is inside of"
"360720","364720","this vcf file"
"362319","367919","this is also free app i'll i will leave"
"364720","370560","this link of this happen to description"
"367919","372560","i can also open it into"
"370560","375600","windows"
"372560","377039","contacts right but it will be opening"
"375600","380479","contacts per"
"377039","382000","vcf file so if i click you can see or we"
"380479","384318","have all the data"
"382000","387759","but in fact we can cancel it will open"
"384319","389280","next one next one and it will be opening"
"387759","391280","until"
"389280","395359","until i until"
"391280","398239","end of the file so this is how windows"
"395360","401280","but you can see all information uh phone"
"398240","403199","email cell organization company name"
"401280","405599","everything"
"403199","408639","has been imported"
"405600","411280","yeah basically that's it i can also open"
"408639","414160","it into many files so in this case it"
"411280","414159","will ask me to"
"414960","418960","specify folder when all these files will"
"417759","421440","be placed"
"418960","422799","so yeah basically that's it if you have"
"421440","426919","any questions please leave them in the"
"422800","426919","comments below thank you"


